phrasal,meaning_en,examples,tags,sense_uid,separable,intransitive
bring along,to take someone or something,"[""Bring along your laptop."",""He brought along a colleague.""]","[""work"",""daily""]",bring_along__take,true,false
bring back,to reintroduce,"[""They brought back an old feature."",""The song brought back memories.""]","[""work"",""daily""]",bring_back__reintroduce,true,false
bring back,to return,"[""The update brought back old bugs."",""She brought back souvenirs.""]","[""work"",""daily""]",bring_back__return,true,false
bring down,to cause to fail or stop working,"[""The bug brought down the system."", ""Heavy traffic brought down the site.""]","[""IT""]",bring_down__fail,true,false
bring down,to reduce or make something fail,"[""The update brought down costs."",""The bug brought down the server.""]","[""IT"",""projects""]",bring_down__reduce,true,false
bring forward,to move to an earlier date,"[""They brought forward the release."", ""The meeting was brought forward.""]","[""work"", ""projects""]",bring_forward__earlier,true,false
bring in,to involve or earn,"[""They brought in a consultant."",""The product brought in revenue.""]","[""work"",""projects""]",bring_in__involve_earn,true,false
bring in line,to align or standardize,"[""We need to bring our processes in line."",""The project was brought in line with requirements.""]","[""work"",""projects""]",bring_in_line__align,false,false
bring on,to cause,"[""Stress can bring on illness."",""The new law brought on protests.""]","[""work"",""daily""]",bring_on__cause,true,false
bring out,to publish or highlight,"[""They brought out a new release."",""The meeting brought out hidden problems.""]","[""work"",""projects""]",bring_out__publish,true,false
bring over,to take to someone,"[""Bring over the files."",""She brought her friend over.""]","[""work"",""daily""]",bring_over__take,true,false
bring together,to unite,"[""The event brought together experts worldwide."",""The project brought together many teams.""]","[""work"",""projects""]",bring_together__unite,true,false
bring up,to mention a topic for discussion,"[""She brought up the issue at the meeting."", ""Let's not bring this up now.""]","[""work"", ""daily"", ""meetings""]",bring_up__mention,true,false
brush up on,to improve knowledge,"[""She brushed up on SQL."",""He brushed up on his English.""]","[""work"",""career""]",brush_up_on__improve,false,false
bump into,to meet unexpectedly,"[""I bumped into my boss."",""He bumped into an old friend.""]","[""daily""]",bump_into__meet,false,false
bump up,to increase,"[""They bumped up salaries."",""He bumped up the priority.""]","[""work"",""projects""]",bump_up__increase,true,false
burn out,to exhaust,"[""He burned out after months of work."",""She burned out from stress.""]","[""work"",""daily""]",burn_out__exhaust,false,false
butt in,to interrupt,"[""He butted in during the call."",""She butted in with a comment.""]","[""meetings"",""daily""]",butt_in__interrupt,false,false
butt in on,to intrude,"[""He butted in on our chat."",""She butted in on the call.""]","[""work"",""daily""]",butt_in_on__intrude,false,false
call back,to return a call,"[""I’ll call you back later."",""She never called back.""]","[""work"",""daily""]",call_back__return,true,false
call for,to require or demand,"[""This situation calls for urgent action."",""The recipe calls for sugar.""]","[""work"",""daily""]",call_for__require,false,false
call in,to request presence or consult,"[""They called in a specialist."",""He was called in for questioning.""]","[""work"",""projects""]",call_in__request,false,false
call off,to cancel,"[""They called off the meeting."",""The match was called off due to rain.""]","[""work"",""projects""]",call_off__cancel,true,false
call on,to ask someone to do something,"[""The teacher called on a student."",""He called on me for help.""]","[""work"",""daily""]",call_on__ask,false,false
call out,to shout or criticize,"[""He called out the bug."",""She called out the unfair policy.""]","[""work"",""meetings""]",call_out__criticize,true,false
call up,to phone,"[""She called up her client."",""He called me up last night.""]","[""work"",""daily""]",call_up__phone,true,false
calm down,to relax,"[""Calm down, it’s okay."",""He calmed down after the error was fixed.""]","[""daily""]",calm_down__relax,false,false
care for,to look after,"[""She cared for her child."",""He cared for his pet.""]","[""daily""]",care_for__lookafter,false,false
carry off,to succeed,"[""She carried off the presentation."",""He carried off the prize.""]","[""work"",""projects""]",carry_off__succeed,true,false
carry on,to continue,"[""Carry on with your work."",""She carried on talking.""]","[""work"",""daily""]",carry_on__continue,false,false
carry on with,to continue,"[""Carry on with your tasks."",""He carried on with his project.""]","[""work"",""projects""]",carry_on_with__continue,false,false
carry out,to perform or complete a task,"[""They carried out the plan successfully."", ""The system carries out a daily backup.""]","[""work"", ""IT""]",carry_out__perform,true,false
carry over,to transfer,"[""The task carried over to the next sprint."",""Vacation days carried over.""]","[""work"",""projects""]",carry_over__transfer,false,false
catch on,to become popular or understand,"[""The new app caught on quickly."",""He didn’t catch on at first.""]","[""work"",""daily""]",catch_on__popular,false,false
catch up,to reach the same level,"[""I need to catch up on my emails."", ""She caught up with the team.""]","[""work"", ""daily""]",catch_up__reach,false,false
catch up on,to do something missed,"[""I need to catch up on emails."",""She caught up on her studies.""]","[""work"",""daily""]",catch_up_on__missed,false,false
check back,to return later,"[""Check back tomorrow for updates."",""I'll check back after lunch.""]","[""IT"",""work""]",check_back__return,false,false
check in,to report or register,"[""We need to check in at the office."", ""Let's check in on the project status.""]","[""work"", ""meetings""]",check_in__report,false,false
check in on,to monitor,"[""Check in on the servers."",""He checked in on his friend.""]","[""IT"",""daily""]",check_in_on__monitor,false,false
check into,to investigate,"[""We're checking into the issue."",""They checked into the bug report.""]","[""IT"",""projects""]",check_into__investigate,false,false
check on,check monitor,"[""I need to check on the project."",""Could you check on the kids?""]","[""work"",""daily""]",check_on__check_monitor,false,false
check out of,to leave or settle,"[""He checked out of the hotel."",""They checked out of the system.""]","[""daily"",""IT""]",check_out_of__leave,false,false
check up on,to verify,"[""She checked up on the interns."",""He checked up on the servers.""]","[""work"",""IT""]",check_up_on__verify,false,false
chill out,to relax,"[""We chilled out at home."", ""Chill out, everything is fine.""]","[""daily"", ""smalltalk""]",chill_out__relax,false,false
chime in,to interrupt with a comment,"[""She chimed in with a good suggestion."", ""Can I chime in here?""]","[""work"", ""meetings""]",chime_in__interrupt,false,false
chip away at,to gradually reduce,"[""They chipped away at the debt."",""He chipped away at the backlog.""]","[""work"",""projects""]",chip_away_at__reduce,false,false
chip in,to contribute,"[""We all chipped in for a gift."",""She chipped in with her ideas.""]","[""work"",""meetings""]",chip_in__contribute,false,false
clam up,to become silent,"[""He clammed up when asked."",""She clammed up during the meeting.""]","[""work"",""daily""]",clam_up__silent,false,false
clean out,to empty,"[""They cleaned out the storage."",""He cleaned out his desk.""]","[""work"",""daily""]",clean_out__empty,true,false
clean up,to remove unnecessary things,"[""Clean up old files."", ""We cleaned up the codebase.""]","[""IT""]",clean_up__remove,true,false
clean up after,to tidy for someone,"[""She cleaned up after her kids."",""He cleaned up after the party.""]","[""daily""]",clean_up_after__tidy,false,false
clear up,to resolve or clarify,"[""We need to clear up this misunderstanding."", ""The sky cleared up after the storm.""]","[""work"", ""daily""]",clear_up__resolve,true,false
clog up,to block,"[""The pipes clogged up."",""Too many requests clogged up the server.""]","[""IT"",""daily""]",clog_up__block,true,false
close down,to stop permanently,"[""The shop closed down."",""They closed down the old system.""]","[""work"",""IT""]",close_down__stop,true,false
close in on,to approach,"[""The deadline is closing in on us."",""The police closed in on the suspect.""]","[""work"",""projects""]",close_in_on__approach,false,false
come across,to encounter or appear,"[""I came across an error in the logs."", ""He came across as confident.""]","[""work"", ""daily""]",come_across__encounter,false,false
come across as,to appear,"[""He comes across as confident."",""She came across as shy.""]","[""work"",""daily""]",come_across_as__appear,false,false
come along,to accompany,"[""He came along with us."", ""She came along to the event.""]","[""daily"", ""smalltalk""]",come_along__accompany,false,false
come along,to progress or join,"[""The project is coming along."",""She came along with us.""]","[""work"",""daily""]",come_along__progress,false,false
come along with,to accompany,"[""She came along with us."",""He came along with a friend.""]","[""daily""]",come_along_with__accompany,false,false
come around,to change opinion,"[""She came around after discussion."",""He came around eventually.""]","[""work"",""daily""]",come_around__change,false,false
come back to,to return,"[""Let’s come back to this later."",""It all comes back to trust.""]","[""work"",""meetings""]",come_back_to__return,false,false
come back up,to be restored or available again,"[""The service came back up after an hour."", ""The system came back up quickly.""]","[""IT""]",come_back_up__restore,false,false
come by,to obtain,"[""Good datasets are hard to come by."",""He came by some old hardware.""]","[""work"",""IT""]",come_by__obtain,false,false
come down to,to be explained by,"[""It all comes down to cost."",""The decision came down to timing.""]","[""work"",""projects""]",come_down_to__explain,false,false
come down with,to become ill,"[""He came down with a cold."",""She came down with flu.""]","[""daily""]",come_down_with__ill,false,false
come forward,to volunteer,"[""She came forward with evidence."",""He came forward to help.""]","[""work"",""daily""]",come_forward__volunteer,false,false
come in handy,to be useful,"[""This script will come in handy."",""His advice came in handy.""]","[""work"",""IT""]",come_in_handy__useful,false,false
come off,to succeed,"[""The project came off well."",""His plan didn’t come off.""]","[""work"",""projects""]",come_off__succeed,false,false
come out,to be released or revealed,"[""The new version came out today."",""The truth came out during review.""]","[""work"",""daily""]",come_out__release,false,false
come out with,to say or publish,"[""He came out with a rude comment."",""They came out with a new version.""]","[""work"",""daily""]",come_out_with__publish,true,false
come through with,to provide,"[""He came through with the money."",""They came through with support.""]","[""work"",""projects""]",come_through_with__provide,false,false
come up,to arise,"[""The issue came up during testing."",""Something came up so I can’t join.""]","[""work"",""meetings""]",come_up__arise,false,false
come up against,to face difficulties,"[""We came up against limitations."",""They came up against strong resistance.""]","[""work"",""projects""]",come_up_against__face,false,false
come up with,to produce or create an idea,"[""He came up with a new approach."", ""She came up with a brilliant idea.""]","[""work"", ""IT"", ""meetings""]",come_up_with__create,false,false
count on,to rely,"[""You can count on me."",""We count on stable servers.""]","[""work"",""daily""]",count_on__rely,false,false
crack down on,to enforce strictly,"[""They cracked down on security."",""Police cracked down on crime.""]","[""IT"",""law""]",crack_down_on__enforce,false,false
crack up,to laugh uncontrollably,"[""The joke cracked him up."",""She cracked up during the show.""]","[""daily""]",crack_up__laugh,false,false
crop up,to appear unexpectedly,"[""Problems keep cropping up."",""An error cropped up in the logs.""]","[""IT"",""daily""]",crop_up__appear,false,false
cut back,to reduce,"[""We cut back costs last year."",""They cut back on testing.""]","[""work"",""projects""]",cut_back__reduce,true,false
cut back on,to reduce,"[""We cut back on expenses."",""He cut back on sugar.""]","[""work"",""daily""]",cut_back_on__reduce,false,false
cut down,to reduce,"[""We need to cut down the expenses."",""Cut down on sugar.""]","[""work"",""daily""]",cut_down__reduce,true,false
cut in,to interrupt,"[""She cut in during the discussion."",""The car cut in front of me.""]","[""meetings"",""daily""]",cut_in__interrupt,false,false
cut off,to disconnect,"[""The call was cut off."",""He cut off the internet.""]","[""IT"",""daily""]",cut_off__disconnect,true,false
cut off,to interrupt someone speaking,"[""He was cut off during the call."", ""Sorry to cut you off, but we need to move on.""]","[""work"", ""meetings""]",cut_off__interrupt,true,false
cut off from,to isolate,"[""The town was cut off from power."",""He was cut off from the internet.""]","[""IT"",""daily""]",cut_off_from__isolate,false,false
cut out,to remove or stop,"[""Cut out unnecessary code."", ""She cut out sugar from her diet.""]","[""work"", ""daily""]",cut_out__remove,true,false
cut out for,to be suitable,"[""He is cut out for leadership."",""She is cut out for coding.""]","[""work"",""career""]",cut_out_for__suitable,false,false
cut through,to go directly or make understood,"[""We cut through the park."",""The speaker cut through the jargon.""]","[""work"",""daily""]",cut_through__direct,false,false
cut up,to slice or upset,"[""He cut up the vegetables."",""She was really cut up about the news.""]","[""daily""]",cut_up__slice,true,false
deal out,to distribute,"[""He dealt out the tasks."",""She dealt out the cards.""]","[""work"",""daily""]",deal_out__distribute,true,false
deal with,to handle or manage a situation,"[""We must deal with this bug immediately."", ""I don’t want to deal with it now.""]","[""work"", ""daily""]",deal_with__handle,false,false
die away,to diminish gradually,"[""The sound died away."",""The applause died away slowly.""]","[""daily""]",die_away__fade,false,false
die down,to become weaker,"[""The noise died down."",""The protest died down.""]","[""daily""]",die_down__weaken,false,false
dig into,to investigate or eat eagerly,"[""He dug into the data logs."",""They dug into their meal.""]","[""work"",""IT""]",dig_into__investigate,false,false
dig up,to discover or unearth,"[""The journalist dug up old files."",""He dug up information about the project.""]","[""work"",""daily""]",dig_up__discover,true,false
divide up,to share,"[""They divided up the tasks."",""The land was divided up among heirs.""]","[""work"",""projects""]",divide_up__share,true,false
do away with,to get rid of,"[""They did away with old rules."",""We should do away with bureaucracy.""]","[""work"",""projects""]",do_away_with__remove,false,false
do up,to fasten or renovate,"[""Do up your jacket."",""They did up the office.""]","[""daily""]",do_up__fasten,true,false
do without,to manage without,"[""We can do without extra servers."",""She had to do without coffee.""]","[""work"",""daily""]",do_without__manage,false,false
drag on,to last too long,"[""The meeting dragged on for hours."",""The case dragged on for years.""]","[""work"",""daily""]",drag_on__last,false,false
draw back,to retreat or hesitate,"[""He drew back from the risky plan."",""She drew back in fear.""]","[""work"",""daily""]",draw_back__retreat,false,false
draw in,to attract or involve,"[""The talk drew in many listeners."",""The project drew in several experts.""]","[""work"",""projects""]",draw_in__attract,false,false
draw on,to use,"[""He drew on his experience."",""She drew on her knowledge of Python.""]","[""work"",""career""]",draw_on__use,false,false
draw out,to prolong,"[""He drew out the explanation."",""The meeting was drawn out.""]","[""work"",""projects""]",draw_out__prolong,true,false
draw up,to prepare a document or plan,"[""They drew up a new contract."", ""Let's draw up a project plan.""]","[""work"", ""projects""]",draw_up__prepare,true,false
draw up with,to stop beside,"[""The car drew up with a screech."",""A taxi drew up with us outside.""]","[""daily""]",draw_up_with__stop,false,false
dream of,to imagine,"[""She dreamed of success."",""He dreamed of moving abroad.""]","[""daily""]",dream_of__imagine,false,false
dream up,to invent,"[""He dreamed up a new solution."",""She dreamed up an idea for the app.""]","[""work"",""projects""]",dream_up__invent,true,false
dress down,to scold or wear casual clothes,"[""He was dressed down by his boss."",""We dress down on Fridays.""]","[""work"",""daily""]",dress_down__scold,false,false
dress up,to wear formal clothes,"[""He dressed up for the interview."",""She dressed up for the party.""]","[""daily""]",dress_up__formal,true,false
drift apart,to become less close,"[""They drifted apart after graduation."",""Friends often drift apart.""]","[""daily""]",drift_apart__distance,false,false
drift off,to fall asleep,"[""He drifted off in class."",""She drifted off on the sofa.""]","[""daily""]",drift_off__sleep,false,false
drop by,to visit briefly,"[""She dropped by my office."", ""I dropped by the store.""]","[""daily"", ""smalltalk""]",drop_by__visit,false,false
drop off,to deliver or decrease,"[""I’ll drop off the package."",""Attendance dropped off.""]","[""work"",""daily""]",drop_off__deliver,true,false
drop off in,to decline,"[""Attendance dropped off in winter."",""Sales dropped off in summer.""]","[""work"",""projects""]",drop_off_in__decline,false,false
drop off to sleep,to fall asleep,"[""He dropped off during the meeting."",""She dropped off on the bus.""]","[""daily""]",drop_off_to_sleep__sleep,false,false
drop out,to quit,"[""He dropped out of the course."", ""She dropped out of the project.""]","[""work"", ""daily""]",drop_out__quit,false,false
ease off,to reduce,"[""The rain eased off."",""Work pressure eased off after the deadline.""]","[""work"",""daily""]",ease_off__reduce,false,false
eat out,to dine in a restaurant,"[""We ate out last night."",""They often eat out on weekends.""]","[""daily""]",eat_out__dine,false,false
eat up,to consume eagerly,"[""The kids ate up the cake."",""The new feature ate up resources.""]","[""work"",""IT""]",eat_up__consume,true,false
egg on,to encourage,"[""They egged him on to take risks."",""She egged her friend on.""]","[""daily""]",egg_on__encourage,true,false
end up with,to finally have,"[""We ended up with too many tasks."",""She ended up with a headache.""]","[""work"",""daily""]",end_up_with__final,false,false
explain away,to justify,"[""He explained away the mistake."",""She explained away the delay.""]","[""work"",""meetings""]",explain_away__justify,true,false
face off,to confront,"[""The teams faced off in court."",""They faced off in the debate.""]","[""work"",""projects""]",face_off__confront,false,false
face up to,to accept,"[""He faced up to his mistakes."",""She faced up to the challenge.""]","[""work"",""daily""]",face_up_to__accept,false,false
fade away,to disappear,"[""The sound faded away."",""His influence faded away.""]","[""daily""]",fade_away__disappear,false,false
fall apart,to break into pieces,"[""The old codebase fell apart."",""The chair fell apart.""]","[""IT"",""daily""]",fall_apart__break,false,false
fall back,to retreat,"[""The troops fell back."",""He fell back in surprise.""]","[""daily""]",fall_back__retreat,false,false
fall back on,to use as backup,"[""We can fall back on the old system."",""She fell back on her savings.""]","[""IT"",""daily""]",fall_back_on__backup,false,false
fall behind,to be late with work,"[""He fell behind on his tasks."", ""We can't fall behind schedule.""]","[""work"", ""projects""]",fall_behind__late,false,false
fall behind in,to lag,"[""She fell behind in her studies."",""They fell behind in payments.""]","[""work"",""projects""]",fall_behind_in__lag,false,false
fall down,to collapse,"[""The wall fell down."",""He fell down the stairs.""]","[""daily""]",fall_down__collapse,false,false
fall for,to be deceived or attracted,"[""He fell for the scam."",""She fell for his charm.""]","[""daily""]",fall_for__deceived,false,false
fall into,to begin by chance,"[""He fell into the habit of late nights."",""She fell into conversation with a stranger.""]","[""daily""]",fall_into__begin,false,false
fall on,to attack or eat eagerly,"[""The dog fell on the intruder."",""The children fell on the cake.""]","[""daily""]",fall_on__attack,false,false
fall out,to argue,"[""They fell out over the budget."", ""He fell out with his friend.""]","[""daily"", ""smalltalk""]",fall_out__argue,false,false
fall out with,to quarrel,"[""He fell out with his friend."",""They fell out with management.""]","[""work"",""daily""]",fall_out_with__quarrel,false,false
fall over,to trip,"[""She fell over a chair."",""He fell over while running.""]","[""daily""]",fall_over__trip,false,false
fall through,to fail,"[""The deal fell through."",""The plan fell through at the last moment.""]","[""work"",""projects""]",fall_through__fail,false,false
farm out,to outsource,"[""They farmed out the testing."",""The work was farmed out to contractors.""]","[""work"",""IT""]",farm_out__outsource,true,false
fend off,to defend against,"[""He fended off criticism."",""She fended off an attacker.""]","[""work"",""daily""]",fend_off__defend,true,false
figure on,to expect,"[""We figure on finishing tomorrow."",""They figured on a quick solution.""]","[""work"",""projects""]",figure_on__expect,false,false
figure out,to solve or understand,"[""He figured out the solution."",""She figured out the puzzle.""]","[""work"",""daily""]",figure_out__solve,false,false
file away,to store,"[""He filed away the documents."",""She filed away her notes.""]","[""work"",""daily""]",file_away__store,true,false
fill in,to complete a form / to substitute,"[""Please fill in this form."", ""She filled in for her colleague.""]","[""work"", ""daily""]",fill_in__complete,true,false
fill in for,to substitute,"[""She filled in for her colleague."",""He filled in for the teacher.""]","[""work"",""daily""]",fill_in_for__substitute,false,false
fill out,to complete a form,"[""Fill out the registration form."",""She filled out the questionnaire.""]","[""work"",""daily""]",fill_out__complete,true,false
find out,to discover,"[""I found out the truth."",""She found out about the bug.""]","[""work"",""daily""]",find_out__discover,false,false
finish off,to complete,"[""He finished off the report."",""She finished off the cake.""]","[""work"",""daily""]",finish_off__complete,true,false
fix up,to repair or arrange,"[""They fixed up the old office."",""We fixed up a meeting.""]","[""work"",""daily""]",fix_up__repair,true,false
fix up with,to arrange,"[""They fixed her up with a mentor."",""He fixed me up with a ticket.""]","[""work"",""daily""]",fix_up_with__arrange,true,false
flare up,to suddenly begin,"[""Violence flared up."",""His asthma flared up.""]","[""daily""]",flare_up__sudden,false,false
focus on,to concentrate,"[""Focus on your tasks."",""She focused on the main issue.""]","[""work"",""daily""]",focus_on__concentrate,false,false
fold up,to collapse or close,"[""The chair folded up."",""The business folded up.""]","[""work"",""daily""]",fold_up__collapse,true,false
follow through,to continue until completed,"[""He followed through with his promise."", ""They followed through on the plan.""]","[""work"", ""projects""]",follow_through__complete,false,false
follow up,to continue or check afterwards,"[""I'll follow up on the ticket."",""She followed up with an email.""]","[""work"",""meetings""]",follow_up__continue,false,false
follow up with,to continue or check,"[""He followed up with an email."",""She followed up with a call.""]","[""work"",""projects""]",follow_up_with__continue,false,false
fool around,to waste time,"[""Stop fooling around at work."",""The kids fooled around outside.""]","[""work"",""daily""]",fool_around__waste,false,false
freeze up,to stop working or speaking,"[""The computer froze up."",""He froze up during the speech.""]","[""IT"",""daily""]",freeze_up__stop,false,false
freshen up,to wash or tidy,"[""I need to freshen up before dinner."",""She freshened up after the flight.""]","[""daily""]",freshen_up__tidy,false,false
frown on,to disapprove,"[""The manager frowned on lateness."",""Society frowns on corruption.""]","[""work"",""daily""]",frown_on__disapprove,false,false
frown upon,to disapprove,"[""The manager frowned upon delays."",""Society frowns upon corruption.""]","[""work"",""daily""]",frown_upon__disapprove,false,false
fuel up,to refuel,"[""We fueled up the car."",""He fueled up before the trip.""]","[""daily""]",fuel_up__refuel,true,false
gear up,to prepare,"[""The team is gearing up for release."",""She geared up for the exam.""]","[""work"",""projects""]",gear_up__prepare,false,false
gear up for,to prepare,"[""We are gearing up for release."",""She geared up for exams.""]","[""work"",""projects""]",gear_up_for__prepare,false,false
get across,to communicate,"[""He got his point across well."",""She struggled to get across her message.""]","[""work"",""meetings""]",get_across__communicate,false,false
get ahead,to succeed,"[""She got ahead quickly in her career."",""Learning English helps you get ahead.""]","[""work"",""career""]",get_ahead__succeed,false,false
get ahead of,to surpass,"[""He got ahead of his colleagues."",""They got ahead of schedule.""]","[""work"",""career""]",get_ahead_of__surpass,false,false
get along,to have a good relationship,"[""They get along well."",""I don’t get along with my boss.""]","[""work"",""daily""]",get_along__relationship,false,false
get around,to avoid or travel,"[""He got around the rule."",""She gets around easily by bike.""]","[""work"",""daily""]",get_around__avoid,false,false
get around to,to finally do,"[""I got around to finishing the report."",""She got around to answering emails.""]","[""work"",""daily""]",get_around_to__finally,false,false
get at,to mean or reach,"[""What are you getting at?"",""The dog couldn’t get at the food.""]","[""work"",""daily""]",get_at__mean,false,false
get away,to escape,"[""They got away from the office early."",""The thief got away.""]","[""work"",""daily""]",get_away__escape,false,false
get away with,to avoid punishment,"[""He got away with the mistake."",""They got away with breaking the rules.""]","[""work"",""daily""]",get_away_with__avoid,false,false
get back,to return,"[""He got back to work quickly."",""We’ll get back to this later.""]","[""work"",""daily""]",get_back__return,false,false
get back at,to take revenge,"[""He got back at his rival."",""She got back at him with a prank.""]","[""daily""]",get_back_at__revenge,false,false
get back into,to return to activity,"[""She got back into painting."",""He got back into training.""]","[""daily""]",get_back_into__return,false,false
get back to,to return to a topic or person,"[""I'll get back to you soon."",""We need to get back to the agenda.""]","[""work"",""meetings""]",get_back_to__return,false,false
get behind,to fail to progress,"[""He got behind in payments."",""She got behind in her studies.""]","[""work"",""daily""]",get_behind__fail,false,false
get by,to manage,"[""We can get by with limited resources."",""He got by on little sleep.""]","[""work"",""daily""]",get_by__manage,false,false
get by on,to manage with little,"[""He gets by on little sleep."",""She got by on a small income.""]","[""daily""]",get_by_on__manage,false,false
get down to,to start focusing,"[""Let’s get down to business."",""He got down to work quickly.""]","[""work"",""projects""]",get_down_to__start,false,false
get in on,to participate,"[""He got in on the project."",""She got in on the deal.""]","[""work"",""projects""]",get_in_on__participate,false,false
get into,to enter or become interested,"[""She got into data engineering."",""Hackers got into the system.""]","[""IT"",""career""]",get_into__enter,false,false
get off,to leave or dismount,"[""She got off the bus."",""He got off work early.""]","[""daily""]",get_off__leave,false,false
get off with,to escape lightly,"[""He got off with a warning."",""She got off with a fine.""]","[""work"",""daily""]",get_off_with__escape,false,false
get on with,to continue,"[""Get on with your work."",""She got on with her life.""]","[""work"",""daily""]",get_on_with__continue,false,false
get out,to leave,"[""Get out of the room."",""He got out early.""]","[""daily""]",get_out__leave,false,false
get out of,to avoid or exit,"[""He got out of the meeting."",""She got out of doing extra work.""]","[""work"",""daily""]",get_out_of__avoid,false,false
get over,to recover,"[""He got over the flu."",""She got over the failed exam.""]","[""daily"",""career""]",get_over__recover,false,false
get round to,to finally do,"[""I got round to fixing the bug."",""She got round to cleaning.""]","[""work"",""daily""]",get_round_to__finally,false,false
get through,to succeed in reaching or finishing,"[""We finally got through the backlog."",""She got through to the support team.""]","[""work"",""IT""]",get_through__succeed,false,false
get through to,to make someone understand,"[""I finally got through to him."",""She got through to the students.""]","[""work"",""meetings""]",get_through_to__understand,false,false
get together,to meet socially,"[""We got together after work."",""They got together at the café.""]","[""daily""]",get_together__meet,false,false
get up to,to do (often mischievous),"[""What are you getting up to?"",""The kids got up to trouble.""]","[""daily""]",get_up_to__do,false,false
