title,pageid,url,category_path
bail out on,1490789,https://en.wiktionary.org/wiki/bail_out_on,Category:English phrasal verbs
bail up,10247298,https://en.wiktionary.org/wiki/bail_up,Category:English phrasal verbs
bait up,7304174,https://en.wiktionary.org/wiki/bait_up,Category:English phrasal verbs
bake in,10777491,https://en.wiktionary.org/wiki/bake_in,Category:English phrasal verbs
bake off,10278108,https://en.wiktionary.org/wiki/bake_off,Category:English phrasal verbs
bake out,7840440,https://en.wiktionary.org/wiki/bake_out,Category:English phrasal verbs
bake up,1988200,https://en.wiktionary.org/wiki/bake_up,Category:English phrasal verbs
balance out,1265995,https://en.wiktionary.org/wiki/balance_out,Category:English phrasal verbs
bale out,1265508,https://en.wiktionary.org/wiki/bale_out,Category:English phrasal verbs
bale up,1988201,https://en.wiktionary.org/wiki/bale_up,Category:English phrasal verbs
ball down,10244702,https://en.wiktionary.org/wiki/ball_down,Category:English phrasal verbs
ball it off,10264520,https://en.wiktionary.org/wiki/ball_it_off,Category:English phrasal verbs
ball off,10264516,https://en.wiktionary.org/wiki/ball_off,Category:English phrasal verbs
ball out,5086532,https://en.wiktionary.org/wiki/ball_out,Category:English phrasal verbs
ball up,1455916,https://en.wiktionary.org/wiki/ball_up,Category:English phrasal verbs
ballast up,10231891,https://en.wiktionary.org/wiki/ballast_up,Category:English phrasal verbs
balls about,4970095,https://en.wiktionary.org/wiki/balls_about,Category:English phrasal verbs
balls around,4970100,https://en.wiktionary.org/wiki/balls_around,Category:English phrasal verbs
balls on,4970071,https://en.wiktionary.org/wiki/balls_on,Category:English phrasal verbs
balls up,1455918,https://en.wiktionary.org/wiki/balls_up,Category:English phrasal verbs
bally about,10218114,https://en.wiktionary.org/wiki/bally_about,Category:English phrasal verbs
band together,1939523,https://en.wiktionary.org/wiki/band_together,Category:English phrasal verbs
bandy about,5000394,https://en.wiktionary.org/wiki/bandy_about,Category:English phrasal verbs
bandy around,4999959,https://en.wiktionary.org/wiki/bandy_around,Category:English phrasal verbs
bang about,1490879,https://en.wiktionary.org/wiki/bang_about,Category:English phrasal verbs
bang around,1490880,https://en.wiktionary.org/wiki/bang_around,Category:English phrasal verbs
bang away,1939535,https://en.wiktionary.org/wiki/bang_away,Category:English phrasal verbs
bang into,10238406,https://en.wiktionary.org/wiki/bang_into,Category:English phrasal verbs
bang off,9514723,https://en.wiktionary.org/wiki/bang_off,Category:English phrasal verbs
bang on,241923,https://en.wiktionary.org/wiki/bang_on,Category:English phrasal verbs
bang out,224447,https://en.wiktionary.org/wiki/bang_out,Category:English phrasal verbs
bang up,182374,https://en.wiktionary.org/wiki/bang_up,Category:English phrasal verbs
bank on,1491664,https://en.wiktionary.org/wiki/bank_on,Category:English phrasal verbs
bank up,2992263,https://en.wiktionary.org/wiki/bank_up,Category:English phrasal verbs
bar down,10264723,https://en.wiktionary.org/wiki/bar_down,Category:English phrasal verbs
bar off,1988208,https://en.wiktionary.org/wiki/bar_off,Category:English phrasal verbs
bar out,3262303,https://en.wiktionary.org/wiki/bar_out,Category:English phrasal verbs
bar up,1988207,https://en.wiktionary.org/wiki/bar_up,Category:English phrasal verbs
barbecue up,10230588,https://en.wiktionary.org/wiki/barbecue_up,Category:English phrasal verbs
bare with,10646000,https://en.wiktionary.org/wiki/bare_with,Category:English phrasal verbs
barf out,9280835,https://en.wiktionary.org/wiki/barf_out,Category:English phrasal verbs
bargain away,4221789,https://en.wiktionary.org/wiki/bargain_away,Category:English phrasal verbs
bargain for,7089248,https://en.wiktionary.org/wiki/bargain_for,Category:English phrasal verbs
bargain on,10247300,https://en.wiktionary.org/wiki/bargain_on,Category:English phrasal verbs
barge in,772225,https://en.wiktionary.org/wiki/barge_in,Category:English phrasal verbs
barge into,10238269,https://en.wiktionary.org/wiki/barge_into,Category:English phrasal verbs
base off,10241090,https://en.wiktionary.org/wiki/base_off,Category:English phrasal verbs
base off of,1583494,https://en.wiktionary.org/wiki/base_off_of,Category:English phrasal verbs
base on,3872215,https://en.wiktionary.org/wiki/base_on,Category:English phrasal verbs
base upon,3872220,https://en.wiktionary.org/wiki/base_upon,Category:English phrasal verbs
bash about,1491677,https://en.wiktionary.org/wiki/bash_about,Category:English phrasal verbs
bash in,1491688,https://en.wiktionary.org/wiki/bash_in,Category:English phrasal verbs
bash one out,8891740,https://en.wiktionary.org/wiki/bash_one_out,Category:English phrasal verbs
bash out,1491692,https://en.wiktionary.org/wiki/bash_out,Category:English phrasal verbs
bash together,9341298,https://en.wiktionary.org/wiki/bash_together,Category:English phrasal verbs
bash up,1491697,https://en.wiktionary.org/wiki/bash_up,Category:English phrasal verbs
baste up,10230581,https://en.wiktionary.org/wiki/baste_up,Category:English phrasal verbs
bat about,7378585,https://en.wiktionary.org/wiki/bat_about,Category:English phrasal verbs
bat around,296458,https://en.wiktionary.org/wiki/bat_around,Category:English phrasal verbs
bat away,1184453,https://en.wiktionary.org/wiki/bat_away,Category:English phrasal verbs
bat in,1424094,https://en.wiktionary.org/wiki/bat_in,Category:English phrasal verbs
bat out,1943793,https://en.wiktionary.org/wiki/bat_out,Category:English phrasal verbs
bat round,10278209,https://en.wiktionary.org/wiki/bat_round,Category:English phrasal verbs
batch up,10276083,https://en.wiktionary.org/wiki/batch_up,Category:English phrasal verbs
batten down,80480,https://en.wiktionary.org/wiki/batten_down,Category:English phrasal verbs
battle it out,845590,https://en.wiktionary.org/wiki/battle_it_out,Category:English phrasal verbs
battle out,5090643,https://en.wiktionary.org/wiki/battle_out,Category:English phrasal verbs
bawl off,10264744,https://en.wiktionary.org/wiki/bawl_off,Category:English phrasal verbs
bawl out,77937,https://en.wiktionary.org/wiki/bawl_out,Category:English phrasal verbs
be about,9523539,https://en.wiktionary.org/wiki/be_about,Category:English phrasal verbs
be along,1510595,https://en.wiktionary.org/wiki/be_along,Category:English phrasal verbs
be around,1400367,https://en.wiktionary.org/wiki/be_around,Category:English phrasal verbs
be down with,9216993,https://en.wiktionary.org/wiki/be_down_with,Category:English phrasal verbs
be in for,460405,https://en.wiktionary.org/wiki/be_in_for,Category:English phrasal verbs
be on,10237703,https://en.wiktionary.org/wiki/be_on,Category:English phrasal verbs
be on at,10237704,https://en.wiktionary.org/wiki/be_on_at,Category:English phrasal verbs
be on one,11025209,https://en.wiktionary.org/wiki/be_on_one,Category:English phrasal verbs
be on to,226216,https://en.wiktionary.org/wiki/be_on_to,Category:English phrasal verbs
be onto,6426957,https://en.wiktionary.org/wiki/be_onto,Category:English phrasal verbs
be out for,3053644,https://en.wiktionary.org/wiki/be_out_for,Category:English phrasal verbs
be with,5085618,https://en.wiktionary.org/wiki/be_with,Category:English phrasal verbs
beak off,8435187,https://en.wiktionary.org/wiki/beak_off,Category:English phrasal verbs
beam up,525233,https://en.wiktionary.org/wiki/beam_up,Category:English phrasal verbs
bear against,9346076,https://en.wiktionary.org/wiki/bear_against,Category:English phrasal verbs
bear away,7043471,https://en.wiktionary.org/wiki/bear_away,Category:English phrasal verbs
bear down,80502,https://en.wiktionary.org/wiki/bear_down,Category:English phrasal verbs
bear down on,1510772,https://en.wiktionary.org/wiki/bear_down_on,Category:English phrasal verbs
bear in,9345787,https://en.wiktionary.org/wiki/bear_in,Category:English phrasal verbs
bear in on,9345786,https://en.wiktionary.org/wiki/bear_in_on,Category:English phrasal verbs
bear in with,80521,https://en.wiktionary.org/wiki/bear_in_with,Category:English phrasal verbs
bear off,4431518,https://en.wiktionary.org/wiki/bear_off,Category:English phrasal verbs
bear off from,80522,https://en.wiktionary.org/wiki/bear_off_from,Category:English phrasal verbs
bear on,1034513,https://en.wiktionary.org/wiki/bear_on,Category:English phrasal verbs
bear out,772222,https://en.wiktionary.org/wiki/bear_out,Category:English phrasal verbs
bear up,80501,https://en.wiktionary.org/wiki/bear_up,Category:English phrasal verbs
bear upon,1034515,https://en.wiktionary.org/wiki/bear_upon,Category:English phrasal verbs
bear with,900252,https://en.wiktionary.org/wiki/bear_with,Category:English phrasal verbs
beat about,10238080,https://en.wiktionary.org/wiki/beat_about,Category:English phrasal verbs
beat as one,5872322,https://en.wiktionary.org/wiki/beat_as_one,Category:English phrasal verbs
beat back,7878222,https://en.wiktionary.org/wiki/beat_back,Category:English phrasal verbs
beat down,518243,https://en.wiktionary.org/wiki/beat_down,Category:English phrasal verbs
beat into,4438440,https://en.wiktionary.org/wiki/beat_into,Category:English phrasal verbs
beat off,97604,https://en.wiktionary.org/wiki/beat_off,Category:English phrasal verbs
beat on,10253379,https://en.wiktionary.org/wiki/beat_on,Category:English phrasal verbs
beat out,1532119,https://en.wiktionary.org/wiki/beat_out,Category:English phrasal verbs
beat to,5088111,https://en.wiktionary.org/wiki/beat_to,Category:English phrasal verbs
beat up,237349,https://en.wiktionary.org/wiki/beat_up,Category:English phrasal verbs
beat up on,5121603,https://en.wiktionary.org/wiki/beat_up_on,Category:English phrasal verbs
beaver away,925170,https://en.wiktionary.org/wiki/beaver_away,Category:English phrasal verbs
become of,3178645,https://en.wiktionary.org/wiki/become_of,Category:English phrasal verbs
bed down,552268,https://en.wiktionary.org/wiki/bed_down,Category:English phrasal verbs
bed in,1952001,https://en.wiktionary.org/wiki/bed_in,Category:English phrasal verbs
bed out,1960086,https://en.wiktionary.org/wiki/bed_out,Category:English phrasal verbs
beef out,7497991,https://en.wiktionary.org/wiki/beef_out,Category:English phrasal verbs
beef up,96581,https://en.wiktionary.org/wiki/beef_up,Category:English phrasal verbs
beep out,9707646,https://en.wiktionary.org/wiki/beep_out,Category:English phrasal verbs
beer up,5420802,https://en.wiktionary.org/wiki/beer_up,Category:English phrasal verbs
beg off,315506,https://en.wiktionary.org/wiki/beg_off,Category:English phrasal verbs
beggar off,10264858,https://en.wiktionary.org/wiki/beggar_off,Category:English phrasal verbs
begger off,10264841,https://en.wiktionary.org/wiki/begger_off,Category:English phrasal verbs
begin upon,10264846,https://en.wiktionary.org/wiki/begin_upon,Category:English phrasal verbs
bell out,1988877,https://en.wiktionary.org/wiki/bell_out,Category:English phrasal verbs
bell up,10278682,https://en.wiktionary.org/wiki/bell_up,Category:English phrasal verbs
bellow out,9354087,https://en.wiktionary.org/wiki/bellow_out,Category:English phrasal verbs
belly out,6009846,https://en.wiktionary.org/wiki/belly_out,Category:English phrasal verbs
belly up,258879,https://en.wiktionary.org/wiki/belly_up,Category:English phrasal verbs
belt down,10246117,https://en.wiktionary.org/wiki/belt_down,Category:English phrasal verbs
belt out,1943827,https://en.wiktionary.org/wiki/belt_out,Category:English phrasal verbs
belt up,1348827,https://en.wiktionary.org/wiki/belt_up,Category:English phrasal verbs
bend down,1988878,https://en.wiktionary.org/wiki/bend_down,Category:English phrasal verbs
bend one off,10310265,https://en.wiktionary.org/wiki/bend_one_off,Category:English phrasal verbs
bend over,1946612,https://en.wiktionary.org/wiki/bend_over,Category:English phrasal verbs
bet out,4654987,https://en.wiktionary.org/wiki/bet_out,Category:English phrasal verbs
bet round,8803084,https://en.wiktionary.org/wiki/bet_round,Category:English phrasal verbs
bet up,1988881,https://en.wiktionary.org/wiki/bet_up,Category:English phrasal verbs
bid down,10231709,https://en.wiktionary.org/wiki/bid_down,Category:English phrasal verbs
bid in,10238388,https://en.wiktionary.org/wiki/bid_in,Category:English phrasal verbs
bid off,10231711,https://en.wiktionary.org/wiki/bid_off,Category:English phrasal verbs
bid up,9514612,https://en.wiktionary.org/wiki/bid_up,Category:English phrasal verbs
big up,38900,https://en.wiktionary.org/wiki/big_up,Category:English phrasal verbs
bill up,9335571,https://en.wiktionary.org/wiki/bill_up,Category:English phrasal verbs
bin off,8732560,https://en.wiktionary.org/wiki/bin_off,Category:English phrasal verbs
bind off,10302420,https://en.wiktionary.org/wiki/bind_off,Category:English phrasal verbs
bind over,3938001,https://en.wiktionary.org/wiki/bind_over,Category:English phrasal verbs
bind up,1988884,https://en.wiktionary.org/wiki/bind_up,Category:English phrasal verbs
bird off,10281198,https://en.wiktionary.org/wiki/bird_off,Category:English phrasal verbs
bitch off,4547096,https://en.wiktionary.org/wiki/bitch_off,Category:English phrasal verbs
bitch out,6673073,https://en.wiktionary.org/wiki/bitch_out,Category:English phrasal verbs
bitch up,3164378,https://en.wiktionary.org/wiki/bitch_up,Category:English phrasal verbs
bite back,7052610,https://en.wiktionary.org/wiki/bite_back,Category:English phrasal verbs
bite down,5076536,https://en.wiktionary.org/wiki/bite_down,Category:English phrasal verbs
bite in,3463539,https://en.wiktionary.org/wiki/bite_in,Category:English phrasal verbs
bite off,3049224,https://en.wiktionary.org/wiki/bite_off,Category:English phrasal verbs
blab out,10251109,https://en.wiktionary.org/wiki/blab_out,Category:English phrasal verbs
black in,8897206,https://en.wiktionary.org/wiki/black_in,Category:English phrasal verbs
black out,177731,https://en.wiktionary.org/wiki/black_out,Category:English phrasal verbs
black up,3330819,https://en.wiktionary.org/wiki/black_up,Category:English phrasal verbs
blanch up,10230686,https://en.wiktionary.org/wiki/blanch_up,Category:English phrasal verbs
blank on,10495063,https://en.wiktionary.org/wiki/blank_on,Category:English phrasal verbs
blank out,1952274,https://en.wiktionary.org/wiki/blank_out,Category:English phrasal verbs
blare out,3164375,https://en.wiktionary.org/wiki/blare_out,Category:English phrasal verbs
blast away,1988885,https://en.wiktionary.org/wiki/blast_away,Category:English phrasal verbs
blast off,1952228,https://en.wiktionary.org/wiki/blast_off,Category:English phrasal verbs
blast out,7643742,https://en.wiktionary.org/wiki/blast_out,Category:English phrasal verbs
blast up,10283578,https://en.wiktionary.org/wiki/blast_up,Category:English phrasal verbs
blaze away,3164372,https://en.wiktionary.org/wiki/blaze_away,Category:English phrasal verbs
blaze down,10246762,https://en.wiktionary.org/wiki/blaze_down,Category:English phrasal verbs
blaze on,10246124,https://en.wiktionary.org/wiki/blaze_on,Category:English phrasal verbs
blaze up,1988887,https://en.wiktionary.org/wiki/blaze_up,Category:English phrasal verbs
bleed for,10328378,https://en.wiktionary.org/wiki/bleed_for,Category:English phrasal verbs
bleed out,3138837,https://en.wiktionary.org/wiki/bleed_out,Category:English phrasal verbs
bleep out,541806,https://en.wiktionary.org/wiki/bleep_out,Category:English phrasal verbs
blend in,3045476,https://en.wiktionary.org/wiki/blend_in,Category:English phrasal verbs
blend up,10230672,https://en.wiktionary.org/wiki/blend_up,Category:English phrasal verbs
bless out,10283599,https://en.wiktionary.org/wiki/bless_out,Category:English phrasal verbs
bless someone with,9582629,https://en.wiktionary.org/wiki/bless_someone_with,Category:English phrasal verbs
blimp out,1515546,https://en.wiktionary.org/wiki/blimp_out,Category:English phrasal verbs
blimp up,10016777,https://en.wiktionary.org/wiki/blimp_up,Category:English phrasal verbs
bling out,3639617,https://en.wiktionary.org/wiki/bling_out,Category:English phrasal verbs
blip out,7540620,https://en.wiktionary.org/wiki/blip_out,Category:English phrasal verbs
bliss out,1952277,https://en.wiktionary.org/wiki/bliss_out,Category:English phrasal verbs
blitz out,8212075,https://en.wiktionary.org/wiki/blitz_out,Category:English phrasal verbs
blob off,10264856,https://en.wiktionary.org/wiki/blob_off,Category:English phrasal verbs
blob out,1440735,https://en.wiktionary.org/wiki/blob_out,Category:English phrasal verbs
block off,3062167,https://en.wiktionary.org/wiki/block_off,Category:English phrasal verbs
block out,1983033,https://en.wiktionary.org/wiki/block_out,Category:English phrasal verbs
block up,1983025,https://en.wiktionary.org/wiki/block_up,Category:English phrasal verbs
blood in,10237920,https://en.wiktionary.org/wiki/blood_in,Category:English phrasal verbs
blood out,10237925,https://en.wiktionary.org/wiki/blood_out,Category:English phrasal verbs
bloody up,1988890,https://en.wiktionary.org/wiki/bloody_up,Category:English phrasal verbs
blossom forth,10959205,https://en.wiktionary.org/wiki/blossom_forth,Category:English phrasal verbs
blossom out,2934250,https://en.wiktionary.org/wiki/blossom_out,Category:English phrasal verbs
blot out,102501,https://en.wiktionary.org/wiki/blot_out,Category:English phrasal verbs
blot up,10264857,https://en.wiktionary.org/wiki/blot_up,Category:English phrasal verbs
blow apart,10238207,https://en.wiktionary.org/wiki/blow_apart,Category:English phrasal verbs
blow away,472442,https://en.wiktionary.org/wiki/blow_away,Category:English phrasal verbs
blow down,1988891,https://en.wiktionary.org/wiki/blow_down,Category:English phrasal verbs
blow in,10124473,https://en.wiktionary.org/wiki/blow_in,Category:English phrasal verbs
blow into,10881677,https://en.wiktionary.org/wiki/blow_into,Category:English phrasal verbs
blow off,51700,https://en.wiktionary.org/wiki/blow_off,Category:English phrasal verbs
blow out,227229,https://en.wiktionary.org/wiki/blow_out,Category:English phrasal verbs
blow over,94354,https://en.wiktionary.org/wiki/blow_over,Category:English phrasal verbs
blow past,5088525,https://en.wiktionary.org/wiki/blow_past,Category:English phrasal verbs
blow through,10238380,https://en.wiktionary.org/wiki/blow_through,Category:English phrasal verbs
blow up,88716,https://en.wiktionary.org/wiki/blow_up,Category:English phrasal verbs
blow upon,3827664,https://en.wiktionary.org/wiki/blow_upon,Category:English phrasal verbs
bluff out,6449969,https://en.wiktionary.org/wiki/bluff_out,Category:English phrasal verbs
blurt out,248077,https://en.wiktionary.org/wiki/blurt_out,Category:English phrasal verbs
board out,3164371,https://en.wiktionary.org/wiki/board_out,Category:English phrasal verbs
board up,273907,https://en.wiktionary.org/wiki/board_up,Category:English phrasal verbs
bob under,10241677,https://en.wiktionary.org/wiki/bob_under,Category:English phrasal verbs
bob up,5085621,https://en.wiktionary.org/wiki/bob_up,Category:English phrasal verbs
body forth,10238254,https://en.wiktionary.org/wiki/body_forth,Category:English phrasal verbs
bog down,1442209,https://en.wiktionary.org/wiki/bog_down,Category:English phrasal verbs
bog in,3164369,https://en.wiktionary.org/wiki/bog_in,Category:English phrasal verbs
bog into,10251122,https://en.wiktionary.org/wiki/bog_into,Category:English phrasal verbs
bog off,278177,https://en.wiktionary.org/wiki/bog_off,Category:English phrasal verbs
boil away,10238224,https://en.wiktionary.org/wiki/boil_away,Category:English phrasal verbs
boil down,99121,https://en.wiktionary.org/wiki/boil_down,Category:English phrasal verbs
boil off,1983038,https://en.wiktionary.org/wiki/boil_off,Category:English phrasal verbs
boil over,1606416,https://en.wiktionary.org/wiki/boil_over,Category:English phrasal verbs
boil up,3164366,https://en.wiktionary.org/wiki/boil_up,Category:English phrasal verbs
bollix up,2425466,https://en.wiktionary.org/wiki/bollix_up,Category:English phrasal verbs
bollocks up,4836935,https://en.wiktionary.org/wiki/bollocks_up,Category:English phrasal verbs
bolster up,10251123,https://en.wiktionary.org/wiki/bolster_up,Category:English phrasal verbs
bolt down,10238241,https://en.wiktionary.org/wiki/bolt_down,Category:English phrasal verbs
bolt in,10283649,https://en.wiktionary.org/wiki/bolt_in,Category:English phrasal verbs
bomb around,1608638,https://en.wiktionary.org/wiki/bomb_around,Category:English phrasal verbs
bomb off,10283776,https://en.wiktionary.org/wiki/bomb_off,Category:English phrasal verbs
bomb out,3062859,https://en.wiktionary.org/wiki/bomb_out,Category:English phrasal verbs
bone down,10283806,https://en.wiktionary.org/wiki/bone_down,Category:English phrasal verbs
bone out,10264966,https://en.wiktionary.org/wiki/bone_out,Category:English phrasal verbs
bone up,288068,https://en.wiktionary.org/wiki/bone_up,Category:English phrasal verbs
boob up,10283807,https://en.wiktionary.org/wiki/boob_up,Category:English phrasal verbs
booger off,10266415,https://en.wiktionary.org/wiki/booger_off,Category:English phrasal verbs
booger up,6786297,https://en.wiktionary.org/wiki/booger_up,Category:English phrasal verbs
boogie down,5061674,https://en.wiktionary.org/wiki/boogie_down,Category:English phrasal verbs
boogie on down,1948529,https://en.wiktionary.org/wiki/boogie_on_down,Category:English phrasal verbs
book away,10259727,https://en.wiktionary.org/wiki/book_away,Category:English phrasal verbs
book in,3164365,https://en.wiktionary.org/wiki/book_in,Category:English phrasal verbs
book into,10238261,https://en.wiktionary.org/wiki/book_into,Category:English phrasal verbs
book off,10259724,https://en.wiktionary.org/wiki/book_off,Category:English phrasal verbs
book on,9532767,https://en.wiktionary.org/wiki/book_on,Category:English phrasal verbs
book up,2548722,https://en.wiktionary.org/wiki/book_up,Category:English phrasal verbs
boom off,10283829,https://en.wiktionary.org/wiki/boom_off,Category:English phrasal verbs
boot out,3864689,https://en.wiktionary.org/wiki/boot_out,Category:English phrasal verbs
boot up,1261638,https://en.wiktionary.org/wiki/boot_up,Category:English phrasal verbs
booty down,8032870,https://en.wiktionary.org/wiki/booty_down,Category:English phrasal verbs
booze up,5090445,https://en.wiktionary.org/wiki/booze_up,Category:English phrasal verbs
bop around,10283853,https://en.wiktionary.org/wiki/bop_around,Category:English phrasal verbs
bop it up,10283854,https://en.wiktionary.org/wiki/bop_it_up,Category:English phrasal verbs
border on,206260,https://en.wiktionary.org/wiki/border_on,Category:English phrasal verbs
